Time_Index,elec_demand_MA,elec_demand_CT,elec_demand_ME
1,8761,2502,1195
2,8474,2420,1156
3,8336,2380,1136
4,8275,2364,1128
5,8330,2379,1136
6,8557,2444,1166
7,8959,2559,1222
8,9399,2684,1282
9,9982,2850,1361
10,10341,2953,1410
11,10483,2994,1429
12,10481,2993,1428
13,10418,2975,1420
14,10339,2953,1409
15,10308,2944,1405
16,10326,2949,1408
17,10808,3086,1474
18,11527,3292,1571
19,11531,3293,1572
20,11320,3233,1544
21,10905,3115,1487
22,10222,2920,1393
23,9458,2701,1289
24,8683,2479,1184
25,8126,2321,1108
26,7842,2239,1069
27,7727,2207,1054
28,7733,2209,1055
29,7973,2277,1087
30,8704,2485,1186
31,10034,2865,1368
32,10781,3079,1469
33,10942,3126,1492
34,11033,3151,1504
35,11119,3176,1516
36,11103,3170,1514
37,10996,3140,1499
38,10921,3119,1489
39,10803,3085,1473
40,10808,3086,1474
41,11301,3227,1540
42,12019,3432,1639
43,11919,3404,1625
44,11541,3296,1574
45,10997,3140,1499
46,10197,2912,1390
47,9194,2625,1253
48,8285,2366,1130
49,7707,2201,1050
50,7341,2097,1000
51,7162,2045,976
52,7116,2032,970
53,7319,2090,998
54,7994,2283,1090
55,9337,2666,1273
56,10078,2878,1374
57,10153,2900,1384
58,10111,2888,1378
59,10123,2891,1380
60,10081,2879,1374
61,9965,2846,1358
62,9889,2825,1348
63,9783,2794,1333
64,9791,2796,1335
65,10281,2936,1402
66,11182,3194,1525
67,11192,3196,1526
68,10926,3120,1489
69,10493,2997,1430
70,9776,2792,1332
71,8880,2536,1211
72,8042,2297,1096
